website,date,year,month,device,channel_group,active_users,new_users,sessions,sessions_per_user,screen_page_views,engaged_sessions,user_engagement_duration,average_session_duration,engagement_rate,new_users_ratio,new_users_ratio
WEB_01,01/01/2023,2023,1,desktop,Organic Search,2785,2664,3363,1.207540395,4032,2453,1915261,448.1517011,0.729408266,0.956552962,0.956552962
WEB_01,01/01/2023,2023,1,mobile,Organic Search,1691,1655,1868,1.104671792,2104,1131,795165,396.5851133,0.605460385,0.978710822,0.978710822
WEB_01,01/01/2023,2023,1,desktop,Direct,1353,1315,1596,1.179600887,2154,443,299254,361.5820907,0.277568922,0.971914265,0.971914265
WEB_01,01/01/2023,2023,1,mobile,Direct,141,141,156,1.106382979,192,57,51136,339.6192095,0.365384615,1,1
WEB_01,01/01/2023,2023,1,tablet,Organic Search,114,112,129,1.131578947,160,86,77398,429.9165801,0.666666667,0.98245614,0.98245614
WEB_01,01/01/2023,2023,1,desktop,Referral,84,68,219,2.607142857,582,182,141331,481.7681844,0.831050228,0.80952381,0.80952381
WEB_01,01/01/2023,2023,1,mobile,Organic Social,10,10,10,1,10,5,1020,302.9025325,0.5,1,1
WEB_01,01/01/2023,2023,1,tablet,Direct,10,8,10,1,12,8,8405,398.7745641,0.8,0.8,0.8
WEB_01,01/01/2023,2023,1,desktop,Unassigned,8,8,10,1.25,6,5,4706,375.1909078,0.5,1,1
WEB_01,01/01/2023,2023,1,mobile,Referral,8,8,8,1,8,6,5576,382.2276358,0.75,1,1
WEB_01,01/01/2023,2023,1,desktop,Organic Social,4,4,4,1,4,4,1142,374.3269629,1,1,1
WEB_01,01/01/2023,2023,1,tablet,Referral,2,2,21,10.5,42,13,3373,356.5893741,0.619047619,1,1
WEB_01,01/02/2023,2023,2,desktop,Organic Search,2052,1957,2552,1.243664717,3266,1792,1354873,390.72677,0.702194357,0.953703704,0.953703704
WEB_01,01/02/2023,2023,2,desktop,Direct,1290,1252,1389,1.076744186,1552,348,177711,338.261673,0.250539957,0.970542636,0.970542636
WEB_01,01/02/2023,2023,2,mobile,Organic Search,1231,1207,1376,1.117790414,1502,773,529611,281.355028,0.561773256,0.980503656,0.980503656
WEB_01,01/02/2023,2023,2,mobile,Direct,171,169,186,1.087719298,206,70,41126,452.8637869,0.376344086,0.988304094,0.988304094
WEB_01,01/02/2023,2023,2,desktop,Referral,148,122,262,1.77027027,672,209,182145,428.4179103,0.797709924,0.824324324,0.824324324
WEB_01,01/02/2023,2023,2,tablet,Organic Search,82,78,84,1.024390244,92,55,59337,515.7457252,0.654761905,0.951219512,0.951219512
WEB_01,01/02/2023,2023,2,desktop,Unassigned,11,11,15,1.363636364,4,8,2162,648.2736303,0.533333333,1,1
WEB_01,01/02/2023,2023,2,mobile,Referral,11,11,13,1.181818182,14,6,5481,457.653454,0.461538462,1,1
WEB_01,01/02/2023,2023,2,tablet,Direct,10,10,10,1,12,6,4379,623.3868421,0.6,1,1
WEB_01,01/02/2023,2023,2,desktop,Organic Social,6,6,6,1,8,6,1333,300.1055203,1,1,1
WEB_01,01/02/2023,2023,2,mobile,Organic Social,4,4,6,1.5,6,3,408,594.0317034,0.5,1,1
WEB_01,01/02/2023,2023,2,mobile,Unassigned,4,4,4,1,2,2,2516,406.4968195,0.5,1,1
WEB_01,01/02/2023,2023,2,tablet,Referral,4,2,6,1.5,10,2,408,315.3492823,0.333333333,0.5,0.5
WEB_01,01/03/2023,2023,3,desktop,Organic Search,2537,2436,3118,1.229010642,1048,2193,1662192,423.9485152,0.703335471,0.9601892,0.9601892
WEB_01,01/03/2023,2023,3,mobile,Organic Search,1754,1731,1957,1.115735462,470,1119,798116,374.0808388,0.571793562,0.986887115,0.986887115
WEB_01,01/03/2023,2023,3,desktop,Direct,1467,1446,1615,1.100886162,502,429,201634,349.356554,0.265634675,0.985685072,0.985685072
WEB_01,01/03/2023,2023,3,mobile,Organic Social,308,308,317,1.029220779,8,51,26724,284.980912,0.160883281,1,1
WEB_01,01/03/2023,2023,3,mobile,Direct,245,238,279,1.13877551,42,74,45193,331.217434,0.265232975,0.971428571,0.971428571
WEB_01,01/03/2023,2023,3,desktop,Organic Social,103,89,133,1.291262136,2,70,87394,447.3771902,0.526315789,0.86407767,0.86407767
WEB_01,01/03/2023,2023,3,desktop,Referral,99,78,289,2.919191919,468,211,176120,399.3351476,0.730103806,0.787878788,0.787878788
WEB_01,01/03/2023,2023,3,tablet,Organic Search,91,89,122,1.340659341,18,72,66232,361.7497353,0.590163934,0.978021978,0.978021978
WEB_01,01/03/2023,2023,3,desktop,Unassigned,13,10,13,1,0,7,816,385.35773,0.538461538,0.769230769,0.769230769
WEB_01,01/03/2023,2023,3,tablet,Direct,8,8,13,1.625,2,2,41,476.1655151,0.153846154,1,1
WEB_01,01/03/2023,2023,3,mobile,Referral,6,4,30,5,30,21,9520,409.1264507,0.7,0.666666667,0.666666667
WEB_01,01/03/2023,2023,3,tablet,Organic Social,6,6,6,1,8,4,2598,351.5723258,0.666666667,1,1
WEB_01,01/03/2023,2023,3,mobile,Unassigned,4,4,4,1,0,2,1836,550.4704914,0.5,1,1
WEB_01,01/03/2023,2023,3,tablet,Referral,4,4,30,7.5,22,21,4583,370.440953,0.7,1,1
WEB_01,01/03/2023,2023,3,tablet,Unassigned,2,2,2,1,0,1,204,295.2401181,0.5,1,1
WEB_01,01/04/2023,2023,4,desktop,Organic Search,2225,2155,2719,1.222022472,72,1811,1275870,652.4293417,0.666053696,0.968539326,0.968539326
WEB_01,01/04/2023,2023,4,mobile,Organic Search,1444,1421,1583,1.096260388,68,893,630931,332.7323497,0.564118762,0.984072022,0.984072022
WEB_01,01/04/2023,2023,4,desktop,Direct,1345,1317,1429,1.062453532,6,312,154714,284.885413,0.2183345,0.979182156,0.979182156
WEB_01,01/04/2023,2023,4,mobile,Direct,188,184,215,1.143617021,14,89,81342,448.3262382,0.413953488,0.978723404,0.978723404
WEB_01,01/04/2023,2023,4,desktop,Referral,93,67,213,2.290322581,260,125,74528,396.9087197,0.58685446,0.720430108,0.720430108
WEB_01,01/04/2023,2023,4,tablet,Organic Search,93,89,97,1.043010753,0,53,48674,359.8610559,0.546391753,0.956989247,0.956989247
WEB_01,01/04/2023,2023,4,desktop,Organic Social,19,15,30,1.578947368,0,13,10880,354.9845061,0.433333333,0.789473684,0.789473684
WEB_01,01/04/2023,2023,4,tablet,Direct,13,10,13,1,0,4,476,506.7470247,0.307692308,0.769230769,0.769230769
WEB_01,01/04/2023,2023,4,mobile,Organic Social,11,11,11,1,0,2,1401,408.6713864,0.181818182,1,1
WEB_01,01/04/2023,2023,4,mobile,Referral,10,4,11,1.1,2,11,1646,611.1288243,1,0.4,0.4
